"genus_name","family_name"
"Leohumicola","Leotiomycetes_incertae_sedis"
"Monocillium","Niessliaceae"
"Vaceletia","Verticillitidae"
"Ascobulla","Volvatellidae"
"Protodinium","Gymnodiniaceae"
"Rotaria","Philodinidae"
"Oxynoe","Oxynoidae"
"Coccomyxa","Coccomyxaceae"
"Vermistella","Stygamoebida_incertae_sedis"
"Catenomyces","Catenariaceae"
"Andalucia","Andaluciidae"
"Nephroselmi","Nephroselmidaceae"
"Firoloida","Pterotracheidae"
"Squamamoeba","Dactylopodida_incertae_sedis"
"Oltmannsiellopsis","Oltmannsiellopsidaceae"
"Cyanoptyche","Palmellaceae"
"Phoronopsis","Phoronidae"
"Bigelowiella","Chlorarachniaceae"
"Rozella","Cryptomycota incertae sedis"
"Nucleophaga","Cryptomycota incertae sedis"
"Vermamoeba","Vermamoebidae"
"Elliptochloris","Prasiolales incertae sedis"
